sim,ct,immigration.rate,res.inflow,N.types,max.res.val,max.growth.rate,max.met.maint,max.active.dispersal,starting.seed,flow.rate,height,length,total.abundance,ind.production,biomass.prod.N,resource.particles,resource.concentration,species.richness,simpson.e,e.var,shannon.h,e.shan,avg.pop.size,pop.var,N.max,logmod.skew,Whittakers.turnover,amplitude,frequency,phase,all.biomass,active.biomass,dormant.biomass,all.avg.per.capita.growth,active.avg.per.capita.growth,dormant.avg.per.capita.growth,all.avg.per.capita.maint,active.avg.per.capita.maint,dormant.avg.per.capita.maint,all.avg.per.capita.efficiency,active.avg.per.capita.efficiency,dormant.avg.per.capita.efficiency,all.avg.per.capita.active.dispersal,active.avg.per.capita.active.dispersal,dormant.avg.per.capita.active.dispersal,all.avg.per.capita.rpf,active.avg.per.capita.rpf,dormant.avg.per.capita.rpf,all.avg.per.capita.mf,active.avg.per.capita.mf,dormant.avg.per.capita.mf,all.size,active.size,dormant.size,N.active,S.active,N.dormant,S.Dormant,Percent.Dormant,dorm.limit
0,110,1,3000,3,1,1,1,1,500,0.05976626035927382,10,10,1792,95,95,178,1.78,43,0.0917,0.19845830533557474,1.737785,0.462029,41.674418604651166,17196.777717685236,737,0.6995607178892059,nan,0,0,0,5.566780408243899,5.359276791335612,6.348230199579364,0.07947569198490949,0.08040764973692976,0.07596597874857779,0.010274392056967698,0.009502658592824717,0.013180707443208284,0.02222820821341029,0.021858892694790934,0.023619034740976784,0.03306142703825588,0.029631193600162697,0.04597954019873444,0.024556340419683454,0.021064250951224082,0.03770740075834959,0.015338119484390844,0.015599759365392773,0.014352794826149531,46.184863188811065,42.10533666855283,61.54818646723039,1416,30,376,31,20.982142857142858,1
0,120,1,3000,3,1,1,1,1,500,0.05976626035927382,10,10,979,57,57,924,9.24,32,0.084,0.22243764227080698,1.332578,0.384501,30.59375,10203.3037109375,502,0.681278847433734,0.29333333333333333,0,0,0,4.65535667179399,4.7346801297592895,4.445989924004533,0.07747250035775476,0.07671570829739352,0.07946998126056695,0.024994373572900155,0.026741205503413076,0.020383776284185744,0.03129425393026514,0.03199822578888385,0.02943618694283282,0.048295011291308074,0.04449361690223082,0.058328431426047295,0.036667796357515665,0.03260149120562445,0.04740042333834378,0.0012652585267662057,0.0012338111310773075,0.0013482609466142278,108.4741701435577,105.0501453407451,117.51155902830477,710,20,269,21,27.47701736465781,1
0,130,1,3000,3,1,1,1,1,500,0.05976626035927382,10,10,1555,72,72,1170,11.7,23,0.1005,0.15539897733551966,1.076989,0.343483,67.6086956521739,40909.10775047259,904,0.6381872389975578,0.32727272727272727,0,0,0,4.679789729644227,4.806836584534069,4.29502865874727,0.07823570746623225,0.07728791944769978,0.08110608102494844,0.025208558855157794,0.026933184005967212,0.019985536053872276,0.03175799208236494,0.032158965149483514,0.030543646187386676,0.04425044625878135,0.040857042840509075,0.0545273597198184,0.03312380908751224,0.029412999045266702,0.04436198768695532,0.0008519855949516982,0.0008098669042193394,0.0009795419407188676,115.91144093602321,116.37611120416177,114.50418823277447,1169,19,386,10,24.823151125401928,1
0,140,1,3000,3,1,1,1,1,500,0.05976626035927382,10,10,393,31,31,1951,19.51,17,0.1227,0.22619600062940026,1.022739,0.360982,23.11764705882353,3819.750865051903,243,0.5858465395672305,0.3,0,0,0,7.88737358092561,6.892667688478116,9.788367064269712,0.07837816269423754,0.08063953068417362,0.07405643720235973,0.006087005664551908,0.00631961771977626,0.00564245818123426,0.02694860095959101,0.027107370969082063,0.026645173830341436,0.056371531203206,0.05897780021434119,0.05139066153748097,0.0683998624300929,0.06637837068393862,0.07226315776718771,0.0017369824151464619,0.0014005761864219137,0.00237989209670893,221.4435327628328,239.93487981846698,186.10451394539857,258,10,135,13,34.35114503816794,1
0,150,1,3000,3,1,1,1,1,500,0.05976626035927382,10,10,386,23,23,2804,28.04,9,0.1165,0.18101603015472756,0.158317,0.072053,42.888888888888886,13953.876543209875,377,0.5409348775727015,0.6153846153846154,0,0,0,11.036261293872501,11.499980359365898,10.256955642140545,0.07312532005426069,0.07347475112036421,0.07253808173483672,0.0020295411491636486,0.0017980724754368637,0.0024185371147322737,0.026413165214193502,0.026455591956812862,0.026341864716180403,0.03653942123858883,0.03713403365775339,0.03554014203415951,0.07347765861626691,0.07371298880413174,0.07308217316166078,0.0010337635611257661,0.0007811741950026146,0.0014582540236382849,114.58955761568822,122.24649979164823,101.72164090331103,242,6,144,5,37.30569948186528,1
0,160,1,3000,3,1,1,1,1,500,0.05976626035927382,10,10,2,0,0,3753,37.53,2,1.0,1.0,0.693147,1.0,1.0,0.0,1,0.0,1.2727272727272727,0,0,0,12.818943925761978,1.8866821501347575,23.7512057013892,0.008827051940997695,0.006040443539775198,0.011613660342220194,0.003681864915950885,0.004666045588195202,0.0026976842437065676,0.030625316530194402,0.018014788797207578,0.04323584426318122,0.14234418043275182,0.17853950160927182,0.1061488592562318,0.12145320853444733,0.10673087374293369,0.13617554332596096,0.058986611921137785,0.09763565497202693,0.020337568870248634,101.88348554126993,31.032956555389855,172.73401452715,1,1,1,1,50.0,1
2,110,1,3000,3,1,1,1,1,500,0.00027595569561046277,16,16,589,14,14,0,0.0,23,0.1211,0.22329182687460114,1.43773,0.458534,25.608695652173914,4759.194706994328,311,0.6376886101336297,nan,0,0,0,0.32291032459619506,0.3097921091949201,0.33529253451291,0.07616538748605409,0.07175010705656834,0.08033294591124526,0.003494513895880438,0.003274433394177209,0.003702246646663022,0.015428963507975953,0.012924111832117663,0.017793278951195323,0.019299741121579592,0.01987542978501397,0.018756351822100278,0.022367408051439632,0.0237311710055034,0.021080159850574164,0.02006624470160022,0.02855394653019823,0.012054750566355885,133.74201166443504,138.24380045824896,129.492798479515,286,16,303,17,51.44312393887945,1
2,120,1,3000,3,1,1,1,1,500,0.00027595569561046277,16,16,604,20,20,1,0.00390625,23,0.1343,0.21589133211821676,1.514266,0.482943,26.26086956521739,4445.062381852552,283,0.6045622697605322,0.0,0,0,0,0.32812647420827706,0.34323362640818367,0.31321810032679026,0.0745546497070826,0.06986358906394928,0.07918398586806945,0.003552412930334536,0.0033991595539274015,0.003703649814946841,0.014394216907223036,0.011531305078842381,0.017219458843125004,0.01950660031946479,0.020091245294377304,0.018929648041590596,0.02384468361388893,0.023874231803425936,0.02381552421631952,0.023113527894933112,0.033380296073268464,0.012981848771575854,147.30773490491876,163.15841259805742,131.66561876037403,300,15,304,18,50.331125827814574,1
2,130,1,3000,3,1,1,1,1,500,0.00027595569561046277,16,16,641,19,19,0,0.0,22,0.1489,0.20310915621366332,1.561636,0.505213,29.136363636363637,4852.5723140495875,279,0.5798010324007707,0.044444444444444446,0,0,0,0.286315591354605,0.29464186874089493,0.27731347976488246,0.07338059559574546,0.06873528205835905,0.07840296380337425,0.0034448096013707506,0.0032263165788201406,0.0036810374471803386,0.014206082517930402,0.01225672705185161,0.01631366488872338,0.019471118600246314,0.020271921503121043,0.01860531546174863,0.02659070766080362,0.02815559439644113,0.024898800897922797,0.024631448933423374,0.033647537529269717,0.014883534964537551,140.1794915043401,138.24110433779524,142.27521529154606,333,13,308,17,48.049921996879874,1
2,140,1,3000,3,1,1,1,1,500,0.00027595569561046277,16,16,610,11,11,0,0.0,22,0.1579,0.20807781934099512,1.626574,0.526222,27.727272727272727,4100.92561983471,242,0.5669286752063887,0.0,0,0,0,0.3029569287078838,0.29875350692887925,0.30679139810503214,0.07209842050636175,0.06813129326919731,0.07571733594841462,0.003526408342588133,0.003246999938618731,0.003781291870974014,0.013708797647598529,0.011656123185854872,0.01558130005627378,0.01972099998606293,0.020184276214948067,0.01929838750140595,0.028194406095276077,0.028024045643725026,0.028349813278352422,0.026567224783315333,0.0355802277544883,0.018345331790803315,142.81601590570386,145.84054996593227,140.05695818931994,291,13,319,20,52.29508196721312,1
