sim,ct,immigration.rate,res.inflow,N.types,max.res.val,max.growth.rate,max.met.maint,max.active.dispersal,starting.seed,flow.rate,height,length,total.abundance,ind.production,biomass.prod.N,resource.particles,resource.concentration,species.richness,simpson.e,e.var,shannon.h,e.shan,avg.pop.size,pop.var,N.max,logmod.skew,Whittakers.turnover,amplitude,frequency,phase,all.biomass,active.biomass,dormant.biomass,all.avg.per.capita.growth,active.avg.per.capita.growth,dormant.avg.per.capita.growth,all.avg.per.capita.maint,active.avg.per.capita.maint,dormant.avg.per.capita.maint,all.avg.per.capita.efficiency,active.avg.per.capita.efficiency,dormant.avg.per.capita.efficiency,all.avg.per.capita.active.dispersal,active.avg.per.capita.active.dispersal,dormant.avg.per.capita.active.dispersal,all.avg.per.capita.rpf,active.avg.per.capita.rpf,dormant.avg.per.capita.rpf,all.avg.per.capita.mf,active.avg.per.capita.mf,dormant.avg.per.capita.mf,all.size,active.size,dormant.size,N.active,S.active,N.dormant,S.Dormant,Percent.Dormant,dorm.limit
1,110,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,273,0,0,1,0.0005165289256198347,4,0.7483,0.7330195538397533,1.20789,0.871308,68.25,1566.6875,117,0.02750384585652776,nan,0,0,0,5.007161684089858,3.8654502864096076,5.777641768413953,0.00937584531433109,0.008296146892121286,0.010104476151405188,0.0144282618657502,0.013325550422270916,0.015172422962576709,0.02174655134974406,0.017643988938220497,0.02451515175015873,0.0729651401249301,0.05398387426835231,0.08577458334102553,0.03179329378140317,0.03238029215999212,0.031397159906281794,0.014653097512457922,0.013663004976732345,0.015321258119389296,58.34080763177206,57.93306407451133,58.61597199556765,110,4,163,4,59.70695970695971,1
1,120,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,250,1,1,0,0.0,4,0.729,0.7340002846934381,1.196294,0.862944,62.5,1452.25,116,0.11150459029398416,0.0,0,0,0,4.930656293712407,3.96884945632032,5.818477989766642,0.008748529643204161,0.008415088392783984,0.009056321566668944,0.01336189932148189,0.013875737601810696,0.01288758706271684,0.02060263644299301,0.01942142733341916,0.021692983313368875,0.07198582254489416,0.05132112649231133,0.09106092659343215,0.031166370585826334,0.032846882503659,0.02961512881551926,0.013449980624315006,0.01481929341660579,0.01218599958527736,58.06182460811364,55.9199491152679,60.03894044766355,120,4,130,4,52.0,1
1,130,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,235,2,2,1,0.0005165289256198347,4,0.6862,0.6906999860224556,1.157543,0.834991,58.75,1578.6875,118,0.16386433040256387,0.0,0,0,0,4.583492880057136,2.9422271737876877,6.267205113212864,0.008213924701162533,0.00836314117595547,0.008060849179607709,0.012617010419464905,0.013715203046614052,0.011490416258855001,0.019808694098432646,0.019486850666016714,0.020138861067893823,0.06865488473224657,0.05284049496026386,0.08487826734315987,0.030891317430762292,0.032639371317270474,0.029098055254085795,0.012772469791191203,0.014605033694614734,0.010892511993713612,58.42457435889932,58.13109845709396,58.72564015471689,119,4,116,4,49.361702127659576,1
1,140,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,226,2,2,1,0.0005165289256198347,4,0.6564,0.6545228483364327,1.127131,0.813053,56.5,1670.75,119,0.18784597416121362,0.0,0,0,0,4.278112532414151,2.6536187841898884,5.902606280638414,0.007923813047837798,0.0073531771808422715,0.008494448914833325,0.012227104365465013,0.011896321722649523,0.012557887008280503,0.019162205782339355,0.016560849994732216,0.021763561569946493,0.06614659496822657,0.05079265395437053,0.08150053598208262,0.0308045950443168,0.031636057063145526,0.029973133025488072,0.012397893633818066,0.012294826416993523,0.012500960850642607,58.61288817434645,59.54884540326772,57.67693094542518,113,4,113,4,50.0,1
1,150,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,206,0,0,0,0.0,4,0.6162,0.6339534662997399,1.091125,0.78708,51.5,1652.25,117,0.2438563359242946,0.0,0,0,0,4.423590322857679,3.476303713412822,5.447425345186968,0.007312161010937506,0.0059886646514872586,0.00874260657115141,0.011171327716083314,0.009302872180264876,0.013190769557826474,0.01744651398454972,0.01313607512436478,0.022105271136466778,0.06422129399781396,0.05151322988161322,0.0779562723860309,0.03026836598107854,0.02994837748534975,0.03061421213302783,0.011096867494413564,0.00899425480576402,0.013369388279115591,59.59458251673394,61.58981634080257,57.438117676578976,107,4,99,4,48.05825242718447,1
1,160,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,184,1,1,0,0.0,4,0.5415,0.5295931454763538,0.993226,0.716461,46.0,1791.5,116,0.27386386419915315,0.0,0,0,0,4.21315566831839,3.449178710299746,4.977132626337036,0.006503320249537697,0.006010366705397825,0.006996273793677569,0.010044799396072687,0.009806956440157541,0.010282642351987836,0.015882676927469367,0.015012329673588736,0.016753024181349996,0.05841744985535436,0.04718438207853618,0.06965051763217253,0.02991554049504943,0.030481414484355346,0.029349666505743516,0.01001427237000484,0.010240312392451299,0.009788232347558384,58.85736250973253,59.078460909809465,58.63626410965559,92,4,92,4,50.0,1
1,170,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,182,2,2,0,0.0,4,0.5194,0.5173799831792536,0.967301,0.69776,45.5,1915.25,119,0.29257463865196465,0.0,0,0,0,3.712455309442915,3.5847149737202666,3.8489052135102924,0.0060573666770585895,0.00530892742261223,0.006856835880671746,0.009241704786998109,0.008128154312772877,0.010431179157193243,0.01498885163474945,0.013926733155744424,0.01612338728277755,0.05834268789292571,0.05502241015368435,0.06188934820529713,0.029403972652002522,0.02888507690157659,0.02995824765813931,0.009058443121228554,0.007980397737279845,0.010209991599537404,56.48360728170075,50.74474930811356,62.613751026214324,94,4,88,4,48.35164835164835,1
1,180,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,177,0,0,1,0.0005165289256198347,4,0.4902,0.4661739236268917,0.913114,0.658673,44.25,2036.1875,120,0.29242278413564304,0.0,0,0,0,3.231558338235019,2.858693169352135,3.6940999401403674,0.005938080432075229,0.006010063347801664,0.005848785169528513,0.009212684459361542,0.009546242081358614,0.008798904118149988,0.014279573077110447,0.014678553248377134,0.01378463564946316,0.054084423620724846,0.05105170117912256,0.0578465350039783,0.029677409719578947,0.030077455818663786,0.029181150001726885,0.00908824660182387,0.009680096163529722,0.00835405347464446,55.050915051980496,48.53412879118702,63.13502965397743,98,4,79,4,44.632768361581924,1
1,190,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,164,2,2,1,0.0005165289256198347,4,0.4401,0.438874441679319,0.830758,0.599265,41.0,2138.5,120,0.31487615919935286,0.0,0,0,0,3.1134746280804264,2.8797647466207095,3.3306873414371045,0.005142426489679587,0.004418623664259307,0.0058151373509525515,0.007841950341634228,0.007057110590881625,0.008571389639392529,0.012070309208512188,0.010990080612192196,0.013074286374503707,0.05158050924517225,0.04313769652166958,0.059427358717604135,0.028980675696674882,0.029005543978658795,0.028957562822831018,0.007404622704499532,0.006921378264806153,0.00785375577197926,56.34575953573423,50.05608509517223,62.19145695696242,79,3,85,4,51.829268292682926,1
1,200,1,53,3,1,1,1,1,500,0.015124250879002283,44,44,150,0,0,0,0.0,4,0.3921,0.41045521886860103,0.729234,0.526031,37.5,2180.25,118,0.3270515180429858,0.0,0,0,0,3.0472009981064248,2.9219559957347156,3.1691500793630882,0.00438631706420985,0.003269928232602613,0.005473327242353738,0.006526367131892618,0.004751374751020611,0.008254649186952205,0.009612259490699816,0.007010479666477858,0.01214557142481067,0.04868091192916472,0.043605730635444734,0.0536225358204184,0.028357376965124127,0.027556734700659724,0.029136949696313145,0.005721650307940664,0.0037279641311995957,0.0076628710589780194,57.31366877337712,54.34128241061779,60.207834442379614,74,4,76,4,50.66666666666667,1
